Index,City,State,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
1,New York, New York,28211,8537673,303
2,Los Angeles, California,8484,3976322,469
3,Chicago, Illinois,11883,2704958,228
4,Houston, Texas,3842,2303482,600
5,Phoenix, Arizona,3126,1615017,517
6,Philadelphia, Pennsylvania,11692,1567872,134
7,San Antonio, Texas,3238,1492510,461
8,San Diego, California,4326,1406630,325
9,Dallas, Texas,3870,1317929,341
10,San Jose, California,5808,1025350,177
11,Austin, Texas,3182,947890,298
12,Jacksonville, Florida,1179,880619,747
13,San Francisco, California,18581,870887,47
14,Columbus, Ohio,3960,860090,217
15,Indianapolis, Indiana,2366,855164,361
16,Fort Worth, Texas,2513,854113,340
17,Charlotte, North Carolina,2829,842051,298
18,Seattle, Washington,8391,704352,84
19,Denver, Colorado,4530,693060,153
20,El Paso, Texas,2676,683080,255
21,Washington, District of Columbia,11158,681170,61
22,Boston, Massachusetts,13943,673184,48
23,Detroit, Michigan,4849,672795,139
24,Nashville, Tennessee,1390,660388,475
25,Memphis, Tennessee,2072,652717,315
26,Portland, Oregon,4795,639863,133
27,Oklahoma City, Oklahoma,1053,638367,606
28,Las Vegas, Nevada,4660,632912,136
29,Louisville, Kentucky,1895,616261,325
30,Baltimore, Maryland,7594,614664,81
31,Milwaukee, Wisconsin,6191,595047,96
32,Albuquerque, New Mexico,2979,559277,188
33,Tucson, Arizona,2341,530706,227
34,Fresno, California,4663,522053,112
35,Sacramento, California,5058,495234,98
36,Mesa, Arizona,3551,484587,136
37,Kansas City, Missouri,1529,481420,315
38,Atlanta, Georgia,3549,472522,133
39,Long Beach, California,9348,470130,50
40,Colorado Springs, Colorado,2391,465101,195
41,Raleigh, North Carolina,3211,458880,143
42,Miami, Florida,12645,453579,36
43,Virginia Beach, Virginia,1818,452602,249
44,Omaha, Nebraska,3517,446970,127
45,Oakland, California,7528,420005,56
46,Minneapolis, Minnesota,7664,413651,54
47,Tulsa, Oklahoma,2049,403090,197
48,Arlington, Texas,4096,392772,96
49,New Orleans, Louisiana,2311,391495,169
50,Wichita, Kansas,2448,389902,159
51,Cleveland, Ohio,4965,385809,78
52,Tampa, Florida,3326,377165,113
53,Bakersfield, California,2648,376380,142
54,Aurora, Colorado,2338,361710,155
55,Urban Honolulu, Hawaii,5813,351792,61
56,Anaheim, California,7043,351043,50
57,Santa Ana, California,12256,334217,27
58,Corpus Christi, Texas,2028,325733,161
59,Riverside, California,4002,324722,81
60,Lexington, Kentucky,1123,318449,284
61,St. Louis, Missouri,5030,311404,62
62,Stockton, California,4979,307072,62
63,Pittsburgh, Pennsylvania,5484,303625,55
64,St. Paul, Minnesota,5818,302398,52
65,Cincinnati, Ohio,3834,298800,78
66,Anchorage, Alaska,175,298192,1705
67,Henderson, Nevada,2719,292969,108
68,Greensboro, North Carolina,2269,287027,127
69,Plano, Texas,3996,286057,72
70,Newark, New Jersey,11648,281764,24
71,Lincoln, Nebraska,3146,280364,89
72,Toledo, Ohio,3452,278508,81
73,Orlando, Florida,2707,277173,102
74,Chula Vista, California,5383,267172,50
75,Irvine, California,4025,266122,66
76,Fort Wayne, Indiana,2391,264488,111
77,Jersey City, New Jersey,17860,264152,15
78,Durham, North Carolina,2450,263016,107
79,St. Petersburg, Florida,4227,260999,62
80,Laredo, Texas,2892,257156,89
81,Buffalo, New York,6362,256902,40
82,Madison, Wisconsin,3289,252551,77
83,Lubbock, Texas,2063,252506,122
84,Chandler, Arizona,3842,247477,64
85,Scottsdale, Arizona,1341,246645,184
86,Glendale, Arizona,4100,245895,60
87,Reno, Nevada,2381,245255,103
88,Norfolk, Virginia,4529,245115,54
